 
Quinary Quadratic Forms of Discriminants 481 to 500

D=  481; GENUS#    1; MASS=     959/      96; HASSE SYMBOLS ARE -1-1 1        
   1   1   1   2  18   0   0   0   1   0   0   0   0   1   2;     16
   1   1   1   3  12   0   0   0   1   0   0   0   0   1   3;     16
   1   1   1   3  15   1   0   0   0   0   1   0   1   0   1;     24
   1   1   1   3  23   1   1   0   0   1   0   0   0   0   1;     48
   1   1   1   3  24   1   1   0   0   1   0   0   0   1   3;     48
   1   1   1   4  11   1   0   0   1   0   0   0   0   0   1;     24
   1   1   1   4  12   1   0   0   1   0   0   0   1   1  -3;     24
   1   1   1   4  12   1   0   0   1   0   1   0   0   1   0;     24
   1   1   1   4  18   1   1   0   1   0   0   0   0   1   2;     48
   1   1   1   5  13   1   1   0   0   1   0   0   0   0   0;     96
   1   1   2   2  12   0   1   1   1   0   0   0   0   1  -1;      8
   1   1   2   2  13   1   0   0   1   0   1   0   0   0   0;     24
   1   1   2   2  15   1   1   0   0   1   0   0   1   0   0;     12
   1   1   2   3   6   0   0   0   0   1   1   0   0   1  -1;      8
   1   1   2   3   6   0   0   0   0   1   1   0   1   0   0;      8
   1   1   2   3   7   0   1   0   0   1   1   1   0   0   1;      8
   1   1   2   3   8   0   1   1   0   1   0   0   0   1   2;      8
   1   1   2   4   5   0   0   0   0   1   2   0   1   1   1;     16
   1   1   2   4   5   0   1   0   0   0   0   0   0   1   3;      8
   1   1   2   4   5   0   1   0   1   0   0   0   0   1  -2;      8
   1   1   2   4   6   1   0   0   1   0   1   0   0   1   2;     12
   1   1   2   4   6   1   0   0   1   0   1   0   1   0   0;     12
   1   1   2   4   7   1   1   0   0   1   0   1   0   0   0;     12
   1   1   2   4   8   1   1   0   1   1   2   0   0   2   1;     24
   1   1   2   5   6   0   1   1   1   1   0   0   1   0   5;     16
   1   1   2   5   7   1   1   0   1   1   2   0   0   1   5;     12
   1   1   3   3   4   0   0   0   0   1   0   0   1   1   0;      8
   1   1   3   3   5   0   1   0   1   0   2   1   1   0  -1;      8
   1   1   3   3   6   0   1   0   0   1   3   0   1   1   1;      8
   1   1   3   3   6   1   1   0   0   0   2   0   0   1  -1;     12
   1   1   3   3   7   1   1   0   0   0   2   0   0   3  -1;     12
   1   1   3   4   4   0   0   0   0   0   1   0   1   2   4;      8
   1   1   3   4   4   0   1   0   0   0   0   1   1   2   3;      8
   1   1   3   4   4   0   1   0   0   1   2   1   1   2   2;      8
   1   1   3   4   4   0   1   1   1   0   0   1   1   0  -1;      8
   1   1   3   4   4   1   0   0   0   0   1   0   1   0   2;     12
   1   1   3   4   5   1   0   0   0   0   2   0   1   3   3;     12
   1   1   3   4   5   1   1   0   0   1   1   0   1   0   3;     12
   1   1   3   4   5   1   1   0   0   1   1   1   1   2   2;     12
   1   1   3   5   5   1   1   0   0   0   2   0   1  -2   4;     24
   1   1   4   4   4   1   1   0   0   0   0   0   1   2   3;     12
   1   2   2   2   5   0   0   1   0   1   0   0   0   1   2;      4
   1   2   2   2   7   1   0   2   0   0   1   1   0   0   1;      4
   1   2   2   3   3   0   0   0   0   1   0   0   1   1  -1;      4
   1   2   2   3   4   0   0   1   0   0   2   0   0   1   3;      8
   1   2   2   3   4   0   0   1   0   2   2   0   0   1  -1;      4
   1   2   2   3   4   0   0   1   1  -1   1   1   1   1   2;      4
   1   2   2   3   4   0   0   2   0   1   0   0   0   1  -2;      4
   1   2   2   3   4   1   0   0   0   2   0   1   0   1  -1;      4
   1   2   2   3   4   1   0   0   1   0   1   0   1   2   1;      4
   1   2   2   3   4   1   0   0   1   0   1   1   0  -1   2;      4
   1   2   2   3   4   1   0   1   0   0   1   1   0  -2   0;      4
   1   2   2   3   4   1   0   1   0   1   0   1   0  -2   0;      8
   1   2   2   3   4   1   0   1   0  -1   1   1   0   1   0;      4
   1   2   2   3   4   1   1   0   0   0   1   0   1   1  -1;      4
   1   2   2   4   4   1   0   1   0   1   1   1   0   1  -4;      4
   1   2   2   4   4   1   0   1   0   2   2   1   0  -2   1;      4
   1   2   2   4   4   1   0   2   0   2   1   1   0  -1   1;      4
   1   2   3   3   3   0   0   0   0   1   1   1   2   2   2;      4
   1   2   3   3   3   0   0   1   0   1  -1   1  -1   1   2;      4
   1   2   3   3   3   0   1   1   1   0   0   0   1  -2   2;      4
   1   2   3   3   4   0   0   1   1   2   2   0   1   2  -2;      4
   1   2   3   3   4   1   0   0   0   2   1   0   2   2  -1;      4
   1   2   3   3   4   1   0   2   0   0   3   1   0  -1   1;      4
   1   2   3   3   4   1   0   2   1   0   2   0   1   3   1;      8
   1   2   3   3   4   1   1   0   1   2   2   0   2   0   3;      4
   1   3   3   3   3   1   0   0   0   2   3   1   0   1  -2;      4
   2   2   2   3   3   1   0   0   0   1   2   1  -1   1   3;      2
D=  481; GENUS#    2; MASS=     323/      32; HASSE SYMBOLS ARE -1 1-1        
   1   1   1   2  29   1   0   0   1   0   1   0   0   0   2;     24
   1   1   1   2  37   1   1   0   0   1   0   0   0   0   0;     96
   1   1   1   3  17   1   0   0   1   0   1   0   0   0   2;     24
