 
Quinary Quadratic Forms of Discriminants 346 to 400

D=  346; GENUS#    1; MASS=    1247/     192; HASSE SYMBOLS ARE -1-1          
   1   1   2   5   5   1   1   0   1   0   0   0   1  -2   3;     12
   1   1   3   3   4   0   0   0   1   1   1   1   1   2   0;     16
   1   1   3   3   4   0   1   0   0   1   1   0   0   1  -3;      8
   1   1   3   3   4   0   1   1   1   0   0   0   0   0   3;      8
   1   1   3   3   5   0   1   0   0   1   3   0   0   1  -2;      8
   1   1   3   3   5   1   1   0   1   0   0   0   1   0   2;     12
   1   1   3   3   5   1   1   0   1   1   2   0   1   1   1;     12
   1   1   3   4   4   1   1   0   0   0   2   0   1   0  -3;     12
   1   1   3   4   4   1   1   0   0   1   0   1   1   2   3;     12
   1   2   2   3   3   0   0   1   0   1   0   1   2   0  -1;      4
   1   2   2   3   3   0   0   1   1   0   2   1   1   0   0;      4
   1   2   2   3   3   0   0   2   0   1   0   1   1   0   1;      8
   1   2   2   3   3   1   0   0   0   2   0   1   0   0   1;      8
   1   2   2   3   3   1   0   1   0   0   1   0   2   0  -1;      4
   1   2   2   3   4   1   0   1   1   0   2   0   1   1  -2;      4
   1   2   2   3   4   1   0   2   0   0   2   0   1   0  -1;      8
   1   2   2   3   5   1   0   2   0   2   0   0   0   2   1;      8
   1   2   3   3   3   0   0   0   0   1   3   1   2   1   3;      4
   1   2   3   3   3   0   0   2   1   0   2   1   0   3   2;      8
D=  347; GENUS#    1; MASS=    5017/     480; HASSE SYMBOLS ARE  1 1          
   1   1   1   1  44   0   0   0   1   1   0   0   1   1   0;     96
   1   1   1   1  70   1   0   0   1   0   1   0   0   0   1;    240
   1   1   1   2  15   0   0   0   1   1   0   0   1   1   0;     16
   1   1   1   2  17   1   0   0   0   0   1   0   1   0   1;     24
   1   1   1   2  18   1   0   0   1   0   0   1   0   1   0;     24
   1   1   1   2  21   1   0   0   1   0   1   0   1   1   0;     24
   1   1   1   4   9   1   0   0   1   0   1   0   1   0  -2;     24
   1   1   1   5   6   0   0   0   1   1   0   0   1   1   4;     16
   1   1   1   5   7   1   0   0   0   0   1   0   1   1   3;     24
   1   1   1   5  10   1   1   0   0   1   0   1   0   0   1;     48
   1   1   1   6   6   1   0   0   1   0   0   0   1   1  -3;     24
   1   1   1   6   7   1   0   0   1   0   1   0   0   0   6;     24
   1   1   2   2   8   0   1   0   0   1   1   0   1   0   0;      8
   1   1   2   2   9   0   1   1   1   0   0   1   1   1   0;      8
   1   1   2   2  10   1   0   0   1   0   1   0   0   1   2;     12
   1   1   2   2  11   1   1   0   1   0   0   0   0   0   1;     12
   1   1   2   2  13   1   1   0   0   1   1   0   0   1   2;     12
   1   1   2   3   5   0   0   0   1   1   1   0   1   1   0;      8
   1   1   2   3   5   0   1   0   0   0   0   1   1   0   2;      8
   1   1   2   3   6   0   1   0   0   0   2   0   1   2   2;      8
   1   1   2   3   6   0   1   0   1   1   0   0   0   1  -3;      8
   1   1   2   3   6   0   1   0   1   1   0   0   1   2  -1;      8
   1   1   2   4   4   0   1   0   0   1   1   1   1   0   1;      8
   1   1   2   4   5   1   1   0   0   0   0   0   0   2   1;     12
   1   1   2   4   5   1   1   0   0   0   1   0   0   1  -2;     12
   1   1   2   4   5   1   1   0   0   0   1   1   0   0   1;     12
   1   1   2   4   6   1   1   0   0   1   1   1   0   0   2;     12
   1   1   2   5   5   1   1   0   1   0   0   0   0   2   3;     12
   1   1   3   3   4   0   1   1   0   0   2   0   1   2   2;      8
   1   1   3   3   4   0   1   1   1   0   2   1   0   2   0;      8
   1   1   3   4   4   1   1   0   0   0   1   0   0   3   3;     12
   1   2   2   2   4   0   0   0   1   0   1   0   1   2   0;      4
   1   2   2   2   4   0   0   0   1   1   1   0   0   1  -1;      4
   1   2   2   2   4   0   0   0   1   1   1   1   0   1   1;      4
   1   2   2   2   4   1   0   1   0   0   1   0   1  -1  -1;      4
   1   2   2   2   5   0   0   2   0   1   1   1   0   1  -2;      4
   1   2   2   2   5   1   0   0   0   1   2   1   0   1   0;      4
   1   2   2   2   5   1   0   1   1   0   1   0   1   0  -2;      4
   1   2   2   2   5   1   0   2   0   1   0   0   0   1   0;      4
